Class,rico:identifier,rico:hasRecordSetType,dcterms:title,dcterms:description,dcterms:dateInterv,dcterms:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition,SOCIETES-DROP,INSTRUMENTS-DROP,DOC_ECRIT_DROP,rico:documents,dcterms:isVersionOf,rico:isDraftOf,rico:hasOrHadSubject,rico:hasDocumentaryFormType,rico:locationURI,rico:locationOS
rico:Record,B12.4.17.b/9,,,Rapport des commissaires vérificateurs. Exercice 1891-1892,,,,,,,,B12.4.17.b,,,3989,,,3989,,,4008,,,
rico:RecordSet,B12.4.18,Sous-dossier d'archives,,État résumé de la main d'oeuvre et des frais généraux de 1871 à 1891,1871/1891,,,,,,,B12.4,,,,,,,,,,,,
rico:Record,B12.4.18/1,,,État résumé de la main d'oeuvre et des fraix généraux,1871/1891,,,,,,,B12.4.18,,,3989;3987,,,3989;3987,,,4008,,,
rico:Record,B12.4.18/2,,,Dépenses générales de 1871 à 1891,1871/1891,,,,,,,B12.4.18,,,3989;3987,,,3989;3987,,,4008,,,
rico:RecordSet,B12.4.19,Sous-dossier d'archives,,Service financier. Tableau des découverts de banque,,,,,,,,B12.4,,,3989,,,3989,,,4008,,,
rico:RecordSet,B12.4.2,Sous-dossier d'archives,,Buire,1889/1893,,,,,,,B12.4,,,,,,,,,,,,
rico:RecordSet,B12.4.2.a,Sous-sous-dossier d'archives,,Originaux des marchés en cours,,1893,,,,,,B12.4.2,,,,,,,,,,,,
rico:Record,B12.4.2.a/1,,,Lettre d'Augustin Seguin au directeur de la Société générale lui remettant les originaux de ces marchés,,1893-11-07,3955,,,M. le directeur de la Société générale,,B12.4.2.a,,,3977;3989,,,3977;3989,,,4008,Correspondance,https://sws.geonames.org/2988507/ Paris,
rico:Record,B12.4.2.a/2,,,Situation d'après le bilan sommaire établi au 31 août 1893,,1893-11-07,3955,,,,,B12.4.2.a,,,3989,,,3989,,,4008,Bilans et documents financiers,https://sws.geonames.org/2988507/ Paris,
rico:RecordSet,B12.4.2.b,Sous-sous-dossier d'archives,,Tableau des livraisons,,1893,,,,,,B12.4.2,,,,,,,,,,,,
rico:Record,B12.4.2.b/1,,,"Tableau des livraisons annuelles de la Buire, novembre 1893",,1893-11-04,,,,,,B12.4.2.b,,,3989,,,3989,,,4008,,https://sws.geonames.org/2988507/ Paris,
rico:Record,B12.4.2.b/2,,,"Tableau des livraisons annuelles de la Buire, octobre 1893",,1893-10-03,,,,,,B12.4.2.b,,,3989,,,3989,,,4008,,,
rico:Record,B12.4.2.b/3,,,Livraisons effectuées de 1857 à 1888,,,,,,,,B12.4.2.b,,,3989;3987,,,3989;3987,,,4008,,,
rico:RecordSet,B12.4.2.c,Sous-sous-dossier d'archives,,États des bénéfices réalisés annuellement sur les travaux exécutés,,1893,,,,,,B12.4.2,,,3989,,,3989,,,4008,,,
rico:RecordSet,B12.4.2.d,Sous-sous-dossier d'archives,,Tableau des immobilisation,,1889,,,,,,B12.4.2,,,3989,,,3989,,,4008,,,
rico:RecordSet,B12.4.2.e,Sous-sous-dossier d'archives,,Tableau des travaux en cours d'exécution et des paiements encaissés au 31 octobre 1893 sur ces travaux,,1893,,,,,,B12.4.2,,,,,,,,,,,,
rico:Record,B12.4.2.e/1,,,Travaux restant à exécuter par les chantiers de la Buire le 1er octobre 1893,,1893-10-03,,,,,,B12.4.2.e,,,3989,,,3989,,,4008,,,
rico:Record,B12.4.2.e/2,,,Tableau indiquant le montant des marchés en cours ainsi que les sommes encaissées et à encaisser sur ces marchés au 31 octobre 1893,,1893-10-31,,,,,,B12.4.2.e,,,3989,,,3989,,,4008,,,
rico:RecordSet,B12.4.2.f,Sous-sous-dossier d'archives,,Statistique,1892/1893,,,,,,,B12.4.2,,,,,,,,,,,,
rico:Record,B12.4.2.f/1,,Proportion annuelle des chapitres ci-après par rapport aux travaux livrés,Document marqué A,,1893-02-25,,,,,,B12.4.2.f,,,3989,,,3989,,,4008,,,
rico:Record,B12.4.2.f/2,,Application des frais généraux aux constructions livéres en 1893,Document marqué B,,,,,,,,B12.4.2.f,,,3989,,,3989,,,4008,,,
rico:Record,B12.4.2.f/3,,[Proportion annuelle de la main d'oeuvre],Document marqué C,,1892-06-28,,,,,,B12.4.2.f,,,3989,,,3989,,,4008,,,
rico:Record,B12.4.2.f/4,,Dépenses et applications mensuelles,Document marqué D,,,,,,,,B12.4.2.f,,,3989,,,3989,,,4008,,,
rico:Record,B12.4.2.f/5,,Bilan estimatif d'avenir,Avec notes manuscrites isolées à l'intérieur,,,,,,,,B12.4.2.f,,,3989,,,3989,,,4008,,,
rico:Record,B12.4.2.f/6,,,Situation au 31 décembre 1892,,1892-12-31,,,,,,B12.4.2.f,,,3989,,,3989,,,4008,,,
rico:RecordSet,B12.4.3,Sous-dossier d'archives,,Renseignements statistiques administratifs de 1883-84 à 1893,,1894,,,,,,B12.4,,,3989,,,3989,,,4008,,,
rico:RecordSet,B12.4.4,Sous-dossier d'archives,,Profits et pertes des industries annexes,,1895,,,,,,B12.4,,,3989,,,3989,,,4008,,,
rico:RecordSet,B12.4.5,Sous-dossier d'archives,,Actions de la Société Métallurgique Lyonnaise,,1895,,,,,,B12.4,,,3995,,,3995,,,,,,
rico:RecordSet,B12.4.6,Sous-dossier d'archives,,Indo-Chine,,1895,,,,,,B12.4,,,,,,,,,,,,
rico:RecordSet,B12.4.7,Sous-dossier d'archives,,Tableaux des découverts de banque,,1895,,,,,,B12.4,,,3989,,,3989,,,4008,,,
rico:RecordSet,B12.4.8,Sous-dossier d'archives,,Société métallurgique lyonnaise.Boni et pertes annuels,,1895,,,,,,B12.4,,,3995,,,3995,,,,,,
rico:RecordSet,B12.4.9,Sous-dossier d'archives,,Acceptations Mandats Péronnière 1882-1892,,1895,,,,,,B12.4,,,3984,,,3984,,,4008,,,
rico:RecordSet,B12.5,Dossier d'archives,,Diverses affaires d'Augustin lorsqu'il est à la Buire,1893/1895,,,,,,,B12,,,,,,,,,,,,
