Class,rico:identifier,rico:hasRecordSetType,dcterms:title,dcterms:description,dcterms:dateInterv,dcterms:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition,SOCIETES-DROP,INSTRUMENTS-DROP,DOC_ECRIT_DROP,rico:documents,dcterms:isVersionOf,rico:isDraftOf,rico:hasOrHadSubject,rico:hasDocumentaryFormType,rico:locationURI,rico:locationOS
rico:RecordSet,A2bis.6.1,Sous-dossier d'archives,,Années 1854-1859,1854/1859,,,,,,,A2bis.6,,,,,,,,,,,,
rico:Record,A2bis.6.1/1,,,Lettre d’Augustine et de Marc Seguin ainsi que de Franck Luquet à Augustin Seguin pour demander des nouvelles sur sa vie au collège,,1854-02-24,3956;3970;3939,,3955,,,A2bis.6.1,,,,,,,,,,Correspondance,,
rico:Record,A2bis.6.1/10,,,Lettre de Magnien à Augustin sur sa préparation au sacerdoce,,1856-05-08,,"Magnien, ami d’enfance d’Augustin, préparationnaire à la prêtrise et précepteur d’Henry, Louis et Étienne",3955,,,A2bis.6.1,,,,,,,,,,Correspondance,https://sws.geonames.org/3021372/ Dijon,
rico:Record,A2bis.6.1/11,,,Lettre de Magnien à Augustin sur sa préparation au sacerdoce et de l’intervention de Marc Seguin auprès de l’évêque pour que Magnien soit fait chanoine de Fontenay,,1856-08-04,,"Magnien, ami d’enfance d’Augustin, préparationnaire à la prêtrise et précepteur d’Henry, Louis et Étienne",3955,,,A2bis.6.1,,,,,,,,,,Correspondance,https://sws.geonames.org/7874015/ Fontenay,
rico:Record,A2bis.6.1/12,,,Lettre de Magnien sur le retour de vacances d’Augustin et ensemble de conseils sur le travail,,1856-10-10,,"Magnien, ami d’enfance d’Augustin, préparationnaire à la prêtrise et précepteur d’Henry, Louis et Étienne",3955,,,A2bis.6.1,,,,,,,,,,Correspondance,https://sws.geonames.org/7874015/ Fontenay,
rico:Record,A2bis.6.1/13,,,Lettre de Franck Luquet à Augustin Seguin à propos de sa vie en pension où Franck vient d’arriver,,1856-10-16,3939,,3955,,,A2bis.6.1,,,,,,,,,,Correspondance,https://sws.geonames.org/3021263/ Dôle,
rico:Record,A2bis.6.1/14,,,Lettre de Magnien à Augustin à propos de la santé fragile d’Augustin,,1856-11-25,,"Magnien, ami d’enfance d’Augustin, préparationnaire à la prêtrise et précepteur d’Henry, Louis et Étienne",3955,,,A2bis.6.1,,,,,,,,,,Correspondance,https://sws.geonames.org/7874015/ Fontenay,
rico:Record,A2bis.6.1/15,,,Lettre de Magnien à Augustin à propos de ses bonnes notes en classe et des progrès de Louis et Étienne,,1856-12-19,,"Magnien, ami d’enfance d’Augustin, préparationnaire à la prêtrise et précepteur d’Henry, Louis et Étienne",3955,,,A2bis.6.1,,,,,,,,,,Correspondance,,
rico:Record,A2bis.6.1/16,,,Lettre de voeux de bonne année de Magnien à Augustin à propos de la fête du jour de l’an à Fontenay,,1857-01-08,,"Magnien, ami d’enfance d’Augustin, préparationnaire à la prêtrise et précepteur d’Henry, Louis et Étienne",3955,,,A2bis.6.1,,,,,,,,,,Correspondance,https://sws.geonames.org/7874015/ Fontenay,
rico:Record,A2bis.6.1/17,,,Lettre de Magnien à Augustin en latin à propos de la vertu du travail et des études (la décision d’écrire en latin vient d’Augustin),,1857-02-18,,"Magnien, ami d’enfance d’Augustin, préparationnaire à la prêtrise et précepteur d’Henry, Louis et Étienne",3955,,,A2bis.6.1,,,,,,,,,,Correspondance,,
